,Equipo,Categoría
0,Recreativo IES La Orden,División de Honor
1,Puertas Padilla Cartagena,División de Honor
2,Oviedo,División de Honor
3,Rinconada - Sevilla,División de Honor
4,Ravachol Pontevedra,División de Honor
5,UD Ibiza - Badminton Pitius,División de Honor
6,Alicante Intercity,División de Honor
7,San Fernando Valencia,División de Honor
8,Astures,División de Honor
9,Huesca La Magia,División de Honor
10,Arjonilla,Primera ORO
11,As Neves,Primera ORO
12,Granollers,Primera ORO
13,CDB Huelva,Primera ORO
14,Ibiza Badminton Club,Primera ORO
15,Athlos,Primera ORO
16,Oviedo B,Primera ORO
17,Benalmádena,Primera ORO
18,CD Universidad de Valladolid,Primera ORO
19,C.E.R Vigo,Primera ORO
20,Club del Mar de San Amaro,Primera ORO
21,Paracuellos,Primera ORO
22,Maó,Primera PLATA
23,CIDE,Primera PLATA
24,Recreativo IES La Orden B,Primera PLATA
25,Palma,Primera PLATA
26,Burgos,Primera PLATA
27,Estella,Primera PLATA
28,Cura Mora,Primera PLATA
29,Soria-CS24,Primera PLATA
30,Tenzul El Rosario,Primera PLATA
31,Drop Valencia,Primera PLATA
32,Benalmádena B,Primera PLATA
33,Larios Rental Jorge Guillen,Primera PLATA
34,Recreativo IES La Orden C,Primera BRONCE
35,San Fernando Valencia B,Primera BRONCE
36,Arroyo Tejada,Primera BRONCE
37,Rinconada - Sevilla B,Primera BRONCE
38,Belmecher,Primera BRONCE
39,Poona,Primera BRONCE
40,Bádminton Laguna,Primera BRONCE
41,RSL Tenerife,Primera BRONCE
42,Huesca La Magia B,Primera BRONCE
43,CD Bádminton Zamora,Primera BRONCE
44,A Estrada,Primera BRONCE
45,Albacete,Primera BRONCE
46,Auria Bádminton Club,Segunda ORO
47,Las Torres,Segunda ORO
48,Hinojeros Granadilla,Segunda ORO
49,Viladecans BCN,Segunda ORO
50,Valladolid,Segunda ORO
51,CB Bádminton Alfajarín,Segunda ORO
52,Tenzul El Rosario B,Segunda ORO
53,Goose Wings,Segunda ORO
54,C.D Bádminton Albatros,Segunda ORO
55,Caparina Candelaria,Segunda ORO
56,A Mariña,Segunda ORO
57,Zamora,Primera BRONCE
58,Albatros,Segunda ORO
59,La Encina,Sin Asignar
60,Alfajarín,Segunda ORO
61,C.D. Bad Flay,Sin Asignar
62,C.B. El Retorno,Sin Asignar
63,C.D.B. Huelva B,Primera ORO
64,Armilla Corporesano,Sin Asignar
65,C.D.B. Benalmádena,Primera ORO
66,C.D.B. Sierra Morena,Sin Asignar
67,Club Bádminton Rute,Sin Asignar
68,"Astures, RSL Tenerife",División de Honor
69,Club Bádminton Ronda,Sin Asignar
70,La Unión Los Palacios,Sin Asignar
71,Club Bádminton Arjonilla,Primera ORO
72,Universidad de Valladolid,Primera ORO
73,UD Ibiza Bádminton Pitius,División de Honor
74,C.B. Mercapinturas Almería,Sin Asignar
75,Club Deportivo Jorge Guillén,Primera PLATA
76,Club Bádminton Rinconada-Sevilla C,Sin Asignar
77,Club Bádminton Ahaurín de la Torre,Sin Asignar
78,"Paracuellos, San Fernando Valencia B",Primera ORO
79,"Rinconada - Sevilla, Rinconada - Sevilla B",División de Honor
